SITENAME,COMPLEX,REGION,REGNO,RCA,ROOKERY,LATITUDE,LONGITUDE
ANO NUEVO,,CALIF,1,,1,37.108370,-122.336850
BODEGA ROCK,,CALIF,1,,0,38.298333,-123.048333
CAPE MENDOCINO,,CALIF,1,,1,40.441667,-124.413333
CAPE SAN MARTIN,,CALIF,1,,0,35.890000,-121.468333
CUFFEYS POINT,,CALIF,1,,0,39.140000,-123.741667
FALSE CAPE ROCKS,,CALIF,1,,0,40.509500,-124.396167
FALSE KLAMATH ROCK,,CALIF,1,,0,41.578800,-124.123000
FARALLON ISLANDS/MIDDLE,,CALIF,1,,0,37.720000,-123.040000
FARALLON ISLANDS/NORTH,,CALIF,1,,0,37.770000,-123.100000
FARALLON ISLANDSSOUTHEAST,,CALIF,1,,1,37.698890,-123.002640
FISH ROCK,,CALIF,1,,0,38.800000,-123.592000
HIGH TIP,,CALIF,1,,0,39.923833,-123.955833
LION ROCK,,CALIF,1,,0,35.216980,-120.872260
LOBOS ROCKS,,CALIF,1,,0,36.456667,-121.936667
MONTEREY BREAKWATER,,CALIF,1,,0,36.608520,-121.889900
NORTHWEST CAPE,NORTHWEST CAPE,CALIF,1,,0,38.511500,-123.258700
NORTHWEST CAPE/N,NORTHWEST CAPE,CALIF,1,,0,38.565000,-123.333333
NORTHWEST CAPE/S,NORTHWEST CAPE,CALIF,1,,0,38.472000,-123.167667
PALMERS POINT,,CALIF,1,,0,41.125300,-124.165000
PECHO ROCK,,CALIF,1,,0,35.179290,-120.816770
PIER 39/SAN FRANCISCO,,CALIF,1,,0,37.813333,-122.410000
PILLAR POINT,,CALIF,1,,0,37.492833,-122.499833
POINT CABRILLO,,CALIF,1,,0,39.365000,-123.825000
POINT NO PASS,,CALIF,1,,0,39.971667,-123.991667
POINT PIEDRAS BLANCAS,,CALIF,1,,0,35.664870,-121.288720
POINT REYES,,CALIF,1,,0,37.995167,-123.011333
POINT SAL,,CALIF,1,,0,34.899040,-120.666090
PUNTA GORDA,,CALIF,1,,0,40.266000,-124.368833
READING ROCK,,CALIF,1,,0,41.340100,-124.178400
SCOTTY POINT,,CALIF,1,,0,41.108700,-124.184900
