"COMMON_NAME","SPECIES_NAME","SPECIES_CODE","TOTAL_WEIGHT_KG","TOTAL_COUNT"
"Pacific ocean perch","Sebastes alutus",30060,66310.982,89502
"arrowtooth flounder","Atheresthes stomias",10110,51831.036,71542
"walleye pollock","Gadus chalcogrammus",21740,42605.652,83627
"Pacific halibut","Hippoglossus stenolepis",10120,12501.406,5289
"Pacific cod","Gadus macrocephalus",21720,10243.506,6099
"sablefish","Anoplopoma fimbria",20510,7010.296,4614
"flathead sole","Hippoglossoides elassodon",10130,6176.996,19841
"dusky rockfish","Sebastes variabilis",30152,5370.011,3352
"southern rock sole","Lepidopsetta bilineata",10262,5291.621,9693
"rex sole","Glyptocephalus zachirus",10200,4690.019,15057
"Atka mackerel","Pleurogrammus monopterygius",21921,3374.381,4101
"giant grenadier","Albatrossia pectoralis",21230,3295.831,1486
"shortspine thornyhead","Sebastolobus alascanus",30020,2215.717,8554
"spiny dogfish","Squalus suckleyi",310,2144.232,849
"yellowfin sole","Limanda aspera",10210,1972.22,6471
"silvergray rockfish","Sebastes brevispinis",30100,1930.538,1071
"Dover sole","Microstomus pacificus",10180,1815.502,2944
"big skate","Beringraja binoculata",420,1555.428,107
"starry flounder","Platichthys stellatus",10220,1523.139,878
"lingcod","Ophiodon elongatus",21910,1470.34,344
"northern rockfish","Sebastes polyspinis",30420,1447.543,1435
"Pacific herring","Clupea pallasii",21110,1419.019,14948
"eulachon","Thaleichthys pacificus",23010,1405.981,38890
"shortraker rockfish","Sebastes borealis",30576,1363.328,304
"longnose skate","Beringraja rhina",440,1356.148,197
"English sole","Parophrys vetulus",10170,1326.994,2065
"northern rock sole","Lepidopsetta polyxystra",10261,1255.54,3246
"canary rockfish","Sebastes pinniger",30410,916.908,415
"rougheye rockfish","Sebastes aleutianus",30051,891.611,1209
"chum salmon","Oncorhynchus keta",23235,764.704,333
"redstripe rockfish","Sebastes proriger",30430,759.75,1427
NA,"Chrysaora melanaster",40504,696.647,897
"yellow Irish lord","Hemilepidotus jordani",21347,637.304,1012
"gigantic anemone","Metridium farcimen",43021,611.217,1199
"lion's mane jelly","Cyanea capillata",40561,602.07,976
"magistrate armhook squid","Berryteuthis magister",79210,453.16,1283
"butter sole","Isopsetta isolepis",10270,365.579,1090
NA,"Metridium sp.",43010,352.084,1087
NA,"Strongylocentrotus sp.",82511,324.787,7983
"sharpchin rockfish","Sebastes zacentrus",30560,306.856,1093
"redbanded rockfish","Sebastes babcocki",30475,293.897,289
"blackspotted rockfish","Sebastes melanostictus",30052,286.898,314
"spotted ratfish","Hydrolagus colliei",710,257.863,756
"giant octopus","Enteroctopus dofleini",78403,238.448,49
"yelloweye rockfish","Sebastes ruberrimus",30470,207.092,52
"chinook salmon","Oncorhynchus tshawytscha",23220,205.352,92
"Alaska plaice","Pleuronectes quadrituberculatus",10285,192.942,157
"Aleutian skate","Bathyraja aleutica",472,190.003,36
"great sculpin","Myoxocephalus polyacanthocephalus",21370,178.313,78
"Pacific capelin","Mallotus villosus",23041,176.253,9131
"black rockfish","Sebastes melanops",30330,164.523,98
"petrale sole","Eopsetta jordani",10160,158.33,166
"bigmouth sculpin","Hemitripterus bolini",21420,137.856,29
"California sea cucumber","Apostichopus californicus",85020,124.757,445
"common mud star","Ctenodiscus crispatus",81780,124.229,13917
"plain sculpin","Myoxocephalus jaok",21371,120.724,111
"Alaskan pink shrimp","Pandalus eous",66031,119.792,15478
"sunflower sea star","Pycnopodia helianthoides",80160,112.176,98
"yellowmouth rockfish","Sebastes reedi",30600,110.88,66
"Tanner crab","Chionoecetes bairdi",68560,110.369,1322
"salmon shark","Lamna ditropis",232,105.924,1
"heart urchin","Brisaster latifrons",82675,102.585,5028
"sidestripe shrimp","Pandalus dispar",66120,100.091,7591
"Oregon triton","Fusitriton oregonensis",72500,87.242,2043
"Bering skate","Bathyraja interrupta",435,74.585,41
"harlequin rockfish","Sebastes variegatus",30535,74.106,244
"sponge unid.","Porifera",91000,69.688,65
"slender sole","Lyopsetta exilis",10150,59.385,665
"giant wrymouth","Cryptacanthodes giganteus",23792,56.411,12
"clay pipe sponge","Aphrocallistes vastus",91030,55.45,5
"Alaska skate","Arctoraja parmifera",471,51.33,8
"ocean shrimp","Pandalus jordani",66030,50.264,9639
NA,"Primnoa pacifica",41521,47.707,24
"yellowtail rockfish","Sebastes flavidus",30240,42.401,28
"basketstar","Gorgonocephalus eucnemis",83020,40.405,345
NA,"Strongylocentrotus pallidus",82526,39.964,1435
"pink salmon","Oncorhynchus gorbuscha",23230,39.58,34
"northern horsemussel","Modiolus modiolus",74060,36.078,790
"wattled eelpout","Lycodes palearis",24185,35.158,212
"weathervane scallop","Patinopecten caurinus",74120,35,182
"empty bivalve shells",NA,99993,34.853,51
NA,"Cucumaria frondosa",85202,34.71,44
"saffron cod","Eleginus gracilis",21735,34.508,499
"greenstriped rockfish","Sebastes elongatus",30200,33.402,115
"quillback rockfish","Sebastes maliger",30320,32.356,44
"kelp greenling","Hexagrammos decagrammus",21935,30.187,68
"redbanded sea star","Orthasterias koehleri",80106,29.06,112
"egg yolk jelly","Phacellophora camtschatica",40505,28.722,89
"rosethorn rockfish","Sebastes helvomaculatus",30270,26.837,107
"darkblotched rockfish","Sebastes crameri",30170,25.681,109
"widow rockfish","Sebastes entomelas",30220,25.65,15
NA,"Chlamys sp.",74104,24.524,1061
"sand sole","Psettichthys melanostictus",10250,23.967,36
"Pacific tomcod","Microgadus proximus",21710,23.843,411
"prowfish","Zaprora silenus",24001,23.608,13
"spud sponge","Histodermella kagigunensis",91066,23.39,131
"orange-pink sea urchin","Strongylocentrotus fragilis",82530,23.217,309
"wolf-eel","Anarrhichthys ocellatus",20320,23.19,3
"red king crab","Paralithodes camtschaticus",69322,21.58,5
"whiteblotched skate","Bathyraja maculata",480,21.1,5
"lampshade sponge","Mycale loveni",91040,20.407,7
"reticulate anemone","Actinauge verrillii",43001,20.403,1028
"shortfin eelpout","Lycodes brevipes",24191,20.389,424
NA,"Parastichopus sp.",85015,19.96,36
"mottled sea star","Evasterias troschelii",80015,19.662,78
"Pacific glass shrimp","Pasiphaea pacifica",66770,19.044,13155
"darkfin sculpin","Malacocottus zonurus",21341,17.912,284
"searcher","Bathymaster signatus",20720,17.592,102
"bigfin eelpout","Lycodes cortezianus",24140,16.028,375
"club sponge","Tedania kagalaskai",91067,15.942,5
"sea nettle","Chrysaora fuscescens",40515,15.879,36
"blackspined sea star","Lethasterias nanimensis",80200,14.616,152
NA,"Brisaster townsendi",82670,14.341,775
"actinid sea anemones unid.","Actiniidae",43080,14.077,125
"Pacific pomfret","Brama japonica",20842,13.89,22
"giant barnacle","Chirona evermanni",65203,13.464,2
"longspine thornyhead","Sebastolobus altivelis",30030,13.106,88
NA,"Stegophiura ponderosa",83340,12.552,978
"golden king crab","Lithodes aequispinus",69310,12.424,9
NA,"Demospongiae",91010,12.117,0
"Pacific hake","Merluccius productus",22500,11.92,6
"sea peach unid.","Halocynthia sp.",98200,11.822,1
"Bering wolffish","Anarhichas orientalis",20322,11.8,1
"popeye grenadier","Coryphaenoides cinereus",21232,11.267,69
"sturgeon poacher","Podothecus accipenserinus",20040,10.369,111
"sponge hermit","Pagurus brandti",69042,10.324,318
NA,"Balanus nubilus",65206,10.089,0
"coho salmon","Oncorhynchus kisutch",23225,10.008,11
"empty gastropod shells",NA,99994,9.558,146
NA,"Solaster sp.",81060,9.205,88
"helmet jelly","Periphylla periphylla",40503,9.114,19
"spinyhead sculpin","Dasycottus setiger",21390,8.887,134
NA,NA,91053,7.941,0
"ball sponge","Tethya sp.",91069,7.839,8
NA,"Synallactes challengeri",85290,7.719,168
"Pacific sandfish","Trichodon trichodon",21592,7.691,186
"brittlestar unid.","Ophiuroidea",83000,6.966,3529
"lanternfish unid.","Myctophidae",22600,6.864,621
"chrysaora jelly","Chrysaora sp.",40501,6.785,10
"sea anemone unid.","Actiniaria",43000,6.667,59
"bocaccio","Sebastes paucispinis",30400,6.343,3
"graceful decorator crab","Oregonia gracilis",68510,6.242,227
"green papillate sponge","Latrunculia oparinae",91226,6.241,10
"jellyfish unid.","Scyphozoa",40500,5.997,29
"bristly tunicate","Halocynthia igaboja",98204,5.803,52
"deepsea sole","Microstomus bathybius",10190,5.792,6
"blackbelly eelpout","Lycodes pacificus",24200,5.713,125
"reddish scallop","Chlamys rubida",74106,5.578,185
"robust clubhook squid","Onykia robusta",79302,5.57,1
NA,"Balticina willemoesi",42012,5.52,41
"longsnout prickleback","Lumpenella longirostris",23836,5.34,61
"giant sea star","Evasterias echinosoma",80020,5.173,4
"sand-grain imbedded ascidian","Aplidium soldatovi",98303,5.154,36
"long-rayed star","Stylasterias forreri",80170,5.043,41
"smooth lumpsucker","Aptocyclus ventricosus",22175,4.967,5
"Pacific sanddab","Citharichthys sordidus",10010,4.965,35
"whitespotted greenling","Hexagrammos stelleri",21932,4.908,54
"Pacific lyre crab","Hyas lyratus",68578,4.897,219
"widehand hermit crab","Elassochirus tenuimanus",69110,4.798,183
NA,"Neptunea sp.",71800,4.696,78
NA,"Pteraster tesselatus",81315,4.589,30
"bryozoan unid.","Bryozoa",95000,4.566,2
"glass sponge unid.","Hexactinellida",91700,4.549,0
"Aleutian hermit","Pagurus aleuticus",69060,3.997,101
NA,NA,99999,3.96,0
"rose sea star","Crossaster papposus",81095,3.941,121
"rough purple sea anemone","Actinostola faeculenta",43002,3.827,17
NA,NA,75601,3.693,13
"sandy sea cucumber","Pseudostichopus mollis",85070,3.622,70
"paddle ascidian","Distaplia smithi",98213,3.504,1
NA,"Aplidium sp.",98312,3.43,0
"purple-orange sea star","Asterias amurensis",81742,3.428,38
NA,"Gonatus sp.",79200,3.4,201
"fragile sea star","Cheiraster dawsoni",81910,3.381,79
NA,"Aurelia labiata",40512,3.352,9
NA,"Strongylocentrotus polyacanthus",82522,3.251,71
"Swift sea star","Gephyreaster swifti",80602,3.077,5
NA,"Aequorea sp.",40506,3.045,21
NA,"Plumarella sp.",44083,3.042,0
"brown box crab","Echidnocerus foraminatus",69270,3.019,14
"sand sea star","Luidia foliolata",80810,2.94,22
"clonal plumose anemone","Metridium senile",43020,2.93,10
"sea urchin unid.","Echinacea",82500,2.879,7
"tunicate unid.","Ascidiacea",98000,2.792,10
NA,"Balanus sp.",65201,2.778,8
"Pacific viperfish","Chauliodus macouni",21010,2.516,18
"spot shrimp","Pandalus platyceros",66040,2.458,50
NA,"Atolla sp.",40510,2.384,8
"red sea urchin","Mesocentrotus franciscanus",82520,2.342,12
"fuzzy hermit crab","Pagurus trigonocheirus",69086,2.329,53
NA,"Pandalus sp.",66020,2.243,408
"Aleutian spiny star","Hippasteria phrygiana",80650,2.218,12
"northern smoothtongue","Leuroglossus schmidti",20622,2.217,165
"hairy hermit crab","Pagurus capillatus",69120,2.178,80
NA,"Hippasteria californica",80640,2.158,12
NA,"Bathyplotes sp.",85180,2.094,61
"hydroid unid.","Hydroidolina",40011,2.081,2
"northern lampfish","Stenobrachius leucopsarus",22602,2.062,256
"orange sea pen","Ptilosarcus gurneyi",42017,2.014,33
"tentacle-shedding anemone","Liponema brevicorne",43090,1.97,8
"goblet sponge","Heterochone calyx",91035,1.954,0
"baseball sponge","Craniella craniana",99981,1.929,18
NA,"Buccinum sp.",72740,1.913,75
"sea whip or sea pen unid.","Pennatuloidea",42000,1.82,13
"red bat star","Ceramaster japonicus",80729,1.814,14
NA,"Dipsacaster eximius",81875,1.797,27
"sea potato","Styela rustica",98082,1.785,57
"sea mouse unid.","Aphroditidae",50160,1.783,64
NA,"Distaplia sp.",98210,1.77,1
"northern sea star","Dipsacaster borealis",81870,1.75,25
"armorhead sculpin","Gymnocanthus galeatus",21316,1.674,13
NA,"Leptasterias sp.",80595,1.652,10
"grooved sea star","Crossaster borealis",81092,1.637,25
"California market squid","Doryteuthis opalescens",79120,1.59,31
"Dungeness crab","Metacarcinus magister",68020,1.586,2
"pincushion sea star","Diplopteraster multipes",81360,1.572,20
"skate egg case unid.","Rajiformes egg case",401,1.547,33
"empty barnacle shells",NA,99991,1.487,2
"vase sponge","Aulosaccus schulzei",91710,1.481,0
"sea peach","Halocynthia aurantium",98205,1.48,12
"knobbyhand hermit","Pagurus confragosus",69070,1.479,63
"lampshell unid.","Brachiopoda",97000,1.46,153
"dark rockfish","Sebastes ciliatus",30151,1.452,4
"common brachiopod","Terebratalia transversa",97110,1.377,116
"hat sponge","Echinoclathria beringensis",91063,1.354,4
"scapula sponge","Stelodoryx oxeata",91057,1.31,0
"bluespine hermit","Pagurus kennerlyi",69085,1.285,50
"ocher sun star","Solaster sp. G (Clark)",81072,1.277,1
NA,NA,80633,1.236,4
"Alaskan hermit","Pagurus ochotensis",69090,1.219,32
NA,"Odontohenricia sp.",80551,1.197,8
