"COMMON_NAME","SPECIES_NAME","SPECIES_CODE","SAMPLE_TYPE","N_RECORDS_STATE"
"walleye pollock","Gadus chalcogrammus",21740,"Otoliths",252
"Pacific cod","Gadus macrocephalus",21720,"Otoliths",218
"northern rock sole","Lepidopsetta polyxystra",10261,"Otoliths",139
"southern rock sole","Lepidopsetta bilineata",10262,"Otoliths",117
"arrowtooth flounder","Atheresthes stomias",10110,"Otoliths",112
"flathead sole","Hippoglossoides elassodon",10130,"Otoliths",89
"rex sole","Glyptocephalus zachirus",10200,"Otoliths",54
"rougheye rockfish","Sebastes aleutianus",30051,"Otoliths",35
"sablefish","Anoplopoma fimbria",20510,"Otoliths",24
"Atka mackerel","Pleurogrammus monopterygius",21921,"Otoliths",22
"Dover sole","Microstomus pacificus",10180,"Otoliths",18
"dusky rockfish","Sebastes variabilis",30152,"Otoliths",8
"blackspotted rockfish","Sebastes melanostictus",30052,"Otoliths",7
"northern rockfish","Sebastes polyspinis",30420,"Otoliths",1
