"COMMON_NAME","SPECIES_NAME","SPECIES_CODE","SAMPLE_TYPE","N_RECORDS_TOTAL"
"walleye pollock","Gadus chalcogrammus",21740,"Otoliths",1633
"Pacific cod","Gadus macrocephalus",21720,"Otoliths",1137
"Pacific ocean perch","Sebastes alutus",30060,"Otoliths",960
"arrowtooth flounder","Atheresthes stomias",10110,"Otoliths",925
"rex sole","Glyptocephalus zachirus",10200,"Otoliths",667
"southern rock sole","Lepidopsetta bilineata",10262,"Otoliths",498
"flathead sole","Hippoglossoides elassodon",10130,"Otoliths",455
"northern rock sole","Lepidopsetta polyxystra",10261,"Otoliths",433
"dusky rockfish","Sebastes variabilis",30152,"Otoliths",327
"rougheye rockfish","Sebastes aleutianus",30051,"Otoliths",307
"Dover sole","Microstomus pacificus",10180,"Otoliths",304
"silvergray rockfish","Sebastes brevispinis",30100,"Otoliths",289
"northern rockfish","Sebastes polyspinis",30420,"Otoliths",274
"shortraker rockfish","Sebastes borealis",30576,"Otoliths",240
"blackspotted rockfish","Sebastes melanostictus",30052,"Otoliths",225
"sablefish","Anoplopoma fimbria",20510,"Otoliths",225
"Atka mackerel","Pleurogrammus monopterygius",21921,"Otoliths",205
"harlequin rockfish","Sebastes variegatus",30535,"Otoliths",127
