vessel,stationid,stratum,latitude,longitude,priority
OEX,0-3,210,52.43982,-169.984,HIGH
OEX,1-8,210,52.64103,-169.926,HIGH
1,4-4,210,52.4799,-169.6777,HIGH
OEX,7-9,111,52.68628,-169.4297,HIGH
OEX,7-7,210,52.60463,-169.4297,HIGH
OEX,12-13,10,52.84322,-169.0163,HIGH
OEX,13-9,111,52.6814,-168.9338,HIGH
1,20-20,10,53.128,-168.3552,HIGH
1,24-15,111,52.93616,-168.0383,HIGH
OEX,24-19,10,53.0872,-168.0247,HIGH
OEX,25-16,111,52.96502,-167.942,HIGH
1,28-20,111,53.11467,-167.694,HIGH
OEX,34-20,111,53.128,-167.1982,HIGH
OEX,35-22,111,53.2097,-167.1157,HIGH
OEX,36-24,111,53.29152,-167.033,HIGH
1,37-19,310,53.0872,-166.9502,HIGH
OEX,42-26,111,53.37353,-166.537,HIGH
OEX,43-32,10,53.61835,-166.4542,HIGH
OEX,43-22,410,53.21707,-166.4542,HIGH
OEX,43-30,111,53.53698,-166.4492,HIGH
1,44-26,210,53.36407,-166.3717,HIGH
1,45-29,111,53.49682,-166.2893,HIGH
OEX,46-26,210,53.38357,-166.2067,HIGH
OEX,47-28,111,53.45941,-166.124,MEDIUM
OEX,48-28,210,53.44906,-166.0413,HIGH
1,49-38,10,53.86893,-165.9587,HIGH
OEX,52-31,111,53.57923,-165.7107,HIGH
1,53-33,10,53.6618,-165.628,HIGH
OEX,54-32,111,53.6205,-165.5452,HIGH
1,55-32,210,53.62081,-165.4627,HIGH
OEX,55-39,10,53.9105,-165.4627,HIGH
1,56-38,10,53.86893,-165.3802,HIGH
OEX,57-38,111,53.86893,-165.2978,HIGH
1,58-34,210,53.70313,-165.215,HIGH
OEX,61-34,210,53.70313,-164.967,LOW
OEX,61-40,11,53.9521,-164.9637,HIGH
1,61-47,11,54.2444,-164.9632,HIGH
1,62-36,111,53.78598,-164.8843,HIGH
1,62-38,111,53.86628,-164.8843,HIGH
1,63-43,11,54.0771,-164.8018,HIGH
1,64-42,11,54.0354,-164.719,HIGH
OEX,64-36,111,53.78598,-164.719,HIGH
OEX,65-47,11,54.2444,-164.6363,HIGH
1,67-51,11,54.40433,-164.471,HIGH
1,70-52,11,54.45442,-164.2233,HIGH
OEX,71-42,11,54.0354,-164.1408,HIGH
1,72-46,11,54.2025,-164.058,HIGH
1,72-56,11,54.61221,-164.058,HIGH
OEX,72-39,11,53.9105,-164.058,HIGH
OEX,72-44,11,54.11883,-164.058,HIGH
OEX,72-55,11,54.58097,-164.058,HIGH
OEX,73-37,11,53.82743,-163.9753,HIGH
OEX,75-40,11,53.9521,-163.81,HIGH
1,77-40,11,53.9521,-163.6448,HIGH
1,77-48,11,54.28633,-163.6448,HIGH
OEX,77-52,11,54.45442,-163.6448,HIGH
1,79-53,11,54.49657,-163.4792,HIGH
1,82-44,11,54.11883,-163.2313,HIGH
OEX,82-55,11,54.58097,-163.2313,HIGH
OEX,83-44,11,54.11883,-163.1488,HIGH
OEX,83-61,12,54.8353,-163.1488,HIGH
OEX,84-53,11,54.49657,-163.066,HIGH
1,86-56,11,54.62325,-162.9007,HIGH
OEX,87-55,11,54.58097,-162.8182,HIGH
OEX,87-51,11,54.42465,-162.8073,HIGH
1,88-59,12,54.75032,-162.7357,HIGH
1,91-49,11,54.3283,-162.4878,LOW
1,91-65,12,55.0057,-162.4878,HIGH
1,94-52,110,54.45442,-162.2398,HIGH
OEX,96-42,310,54.03982,-162.0742,HIGH
1,97-47,11,54.2444,-161.9918,HIGH
OEX,97-45,11,54.16063,-161.9918,HIGH
1,98-69,12,55.17682,-161.909,HIGH
OEX,98-68,12,55.13538,-161.909,LOW
OEX,101-72,12,55.3057,-161.6612,LOW
OEX,101-73,12,55.34873,-161.6612,HIGH
1,102-44,310,54.1103,-161.5759,HIGH
1,103-43,410,54.0771,-161.496,HIGH
1,104-72,12,55.3057,-161.4132,HIGH
1,104-55,13,54.58097,-161.4132,HIGH
1,111-62,13,54.87782,-160.8348,HIGH
1,111-58,110,54.70792,-160.8348,HIGH
OEX,112-53,110,54.49657,-160.752,HIGH
1,113-64,13,54.96302,-160.6693,HIGH
1,113-48,111,54.2955,-160.6693,HIGH
OEX,113-69,13,55.16135,-160.6693,HIGH
OEX,113-73,12,55.34153,-160.6468,HIGH
OEX,114-61,110,54.82083,-160.5908,HIGH
1,114-74,12,55.39494,-160.5868,HIGH
1,114-65,13,55.0057,-160.5868,HIGH
OEX,114-77,12,55.52132,-160.5868,HIGH
OEX,114-64,13,54.96302,-160.5868,HIGH
1,115-61,13,54.8353,-160.504,HIGH
1,115-63,13,54.9204,-160.504,HIGH
OEX,115-70,13,55.23386,-160.504,HIGH
1,116-73,13,55.35407,-160.4212,HIGH
1,118-49,210,54.31724,-160.256,LOW
OEX,118-80,12,55.6382,-160.256,HIGH
OEX,118-59,13,54.75032,-160.256,HIGH
OEX,119-69,13,55.17682,-160.1732,HIGH
OEX,121-49,210,54.33207,-160.0107,HIGH
OEX,122-49,310,54.32914,-159.9258,HIGH
1,125-53,111,54.49657,-159.6777,HIGH
OEX,125-58,13,54.70792,-159.6777,HIGH
1,126-78,12,55.55395,-159.595,MEDIUM
1,127-71,13,55.25966,-159.5122,HIGH
1,127-76,112,55.4781,-159.5122,HIGH
OEX,129-52,210,54.44783,-159.347,HIGH
1,131-75,112,55.43493,-159.1818,HIGH
OEX,131-71,112,55.2627,-159.1818,HIGH
1,132-65,13,55.0057,-159.099,HIGH
OEX,132-62,13,54.87782,-159.099,HIGH
1,133-80,120,55.6513,-159.0163,HIGH
OEX,133-59,13,54.75032,-159.0163,HIGH
OEX,134-77,12,55.51809,-158.9338,HIGH
OEX,134-57,13,54.67265,-158.9338,HIGH
OEX,134-62,13,54.87782,-158.9338,HIGH
1,135-65,13,55.00276,-158.851,HIGH
1,135-69,120,55.17682,-158.851,HIGH
1,135-73,120,55.34873,-158.851,HIGH
1,135-56,122,54.62325,-158.851,HIGH
1,136-55,122,54.58533,-158.7682,HIGH
OEX,136-64,13,54.95554,-158.7682,HIGH
1,138-86,20,55.9126,-158.6032,HIGH
1,139-65,120,55.0057,-158.5208,HIGH
1,139-74,120,55.3918,-158.5208,LOW
