stratum,Priority,stationid,Longitude,Latitude,vessel
211,high,52-39,173.8329,52.65673,176
211,high,48-32,173.5335,52.3456,176
211,high,58-37,174.2943,52.57252,176
211,high,57-38,174.2139,52.61076,176
211,high,58-38,174.2853,52.61076,176
211,high,38-48,172.7817,53.05631,148
211,high,55-42,174.0591,52.77746,148
211,high,44-46,173.2324,52.96683,148
211,high,53-39,173.9118,52.65511,148
211,high,13-49,170.9048,53.10004,148
212,high,13-49,170.8743,53.12075,176
212,high,40-38,172.9361,52.61076,176
212,high,13-50,170.9022,53.14597,176
212,high,32-44,172.3352,52.88029,176
212,high,35-43,172.5519,52.83296,176
212,high,54-33,173.9846,52.38968,176
212,high,44-47,173.2331,53.01583,176
212,high,14-45,170.9683,52.93947,176
212,high,43-47,173.1707,53.02053,176
212,high,55-36,174.0598,52.5222,176
212,high,50-28,173.6892,52.18269,176
212,high,43-35,173.1576,52.47798,176
212,high,59-35,174.3529,52.49102,176
212,high,13-46,170.9027,52.96629,176
212,high,34-44,172.4805,52.87556,176
212,high,51-43,173.7533,52.83296,176
212,high,46-35,173.3823,52.47896,176
212,high,12-52,170.827,53.23582,176
212,high,12-50,170.8486,53.15183,176
212,high,14-46,170.9701,52.96683,176
212,high,32-47,172.3367,52.99341,176
212,high,58-36,174.2853,52.5222,176
212,high,57-35,174.2101,52.47798,176
212,high,37-49,172.7238,53.08916,176
212,high,33-43,172.4384,52.83135,176
212,high,41-48,173.006,53.06241,148
212,high,37-40,172.7371,52.68013,148
212,high,38-39,172.7962,52.66074,148
212,high,60-36,174.43,52.52896,148
212,high,12-53,170.8256,53.2744,148
212,high,47-38,173.4583,52.61076,148
212,high,50-43,173.6861,52.83296,148
212,high,48-37,173.5335,52.56646,148
212,high,58-34,174.2692,52.44621,148
212,high,14-50,170.9725,53.14597,148
212,high,13-52,170.8909,53.23582,148
212,high,57-36,174.2101,52.5222,148
212,high,35-42,172.5602,52.80278,148
212,high,40-48,172.9315,53.07411,148
212,high,36-42,172.6416,52.78843,148
212,high,38-40,172.7817,52.69951,148
212,high,40-35,172.9613,52.48196,148
212,high,33-44,172.4067,52.87754,148
212,high,14-49,170.9803,53.11783,148
212,high,56-33,174.135,52.38968,148
212,high,13-45,170.9005,52.93287,148
212,high,40-36,172.9553,52.52671,148
212,high,43-32,173.1819,52.3523,148
212,high,40-37,172.9527,52.56941,148
212,high,47-29,173.462,52.23029,148
213,high,60-36,174.4412,52.50598,148
213,high,10-53,170.6704,53.2864,148
213,high,12-45,170.8312,52.90967,148
213,high,32-43,172.3326,52.84817,148
213,high,48-29,173.5294,52.21092,148
213,high,10-54,170.6569,53.32155,148
213,high,38-38,172.8088,52.62642,148
213,high,11-53,170.7494,53.28985,176
213,high,40-36,172.9342,52.52534,176
213,high,47-29,173.4601,52.22441,176
213,high,32-47,172.3273,52.99964,176
213,high,49-28,173.6107,52.18522,176
213,high,33-43,172.4077,52.83296,176
213,high,31-46,172.2554,52.96683,176
213,high,58-33,174.2818,52.40109,176
214,high,31-43,172.252,52.83452,176
214,high,60-34,174.4357,52.43381,176
214,high,30-46,172.1676,52.96683,176
214,high,56-32,174.1394,52.33148,176
214,high,09-54,170.604,53.33286,148
214,high,24-49,171.6996,53.10677,148
214,high,36-40,172.6338,52.69951,148
214,high,57-32,174.2029,52.3449,148
214,high,30-43,172.1827,52.82676,148
221,high,79-32,175.8652,52.3456,148
221,high,80-20,175.9162,51.81671,148
221,high,79-31,175.8937,52.32111,148
221,high,80-31,175.9407,52.31877,148
221,high,81-23,176.0145,51.9508,148
221,high,86-28,176.3856,52.16308,176
221,high,76-19,175.6632,51.7677,176
221,high,79-20,175.8642,51.81997,176
221,high,82-24,176.0857,51.99166,176
221,high,84-29,176.2191,52.20018,176
222,high,91-24,176.7729,51.9765,148
222,high,72-30,175.3227,52.26045,148
222,high,78-34,175.7874,52.42568,148
222,high,81-27,176.0163,52.10527,148
222,high,81-30,176.0275,52.25756,148
222,high,90-23,176.6967,51.94104,148
222,high,79-24,175.9,52.01414,148
222,high,89-22,176.6178,51.92116,148
222,high,75-17,175.5771,51.68952,148
222,high,87-25,176.4675,52.04494,148
222,high,71-29,175.2604,52.21642,176
222,high,76-16,175.6486,51.64612,176
222,high,91-23,176.761,51.96798,176
222,high,92-24,176.8493,51.98415,176
222,high,79-31,175.8772,52.30017,176
222,high,72-31,175.3155,52.29062,176
222,high,77-34,175.7406,52.41257,176
222,high,82-30,176.0746,52.26977,176
222,high,79-21,175.8688,51.8739,176
223,high,75-16,175.5718,51.64612,148
223,high,91-23,176.7636,51.95942,148
223,high,75-35,175.5631,52.46544,148
223,high,70-30,175.1766,52.26583,148
223,high,80-30,175.9383,52.25756,148
223,high,69-30,175.1234,52.24282,176
223,high,84-27,176.2404,52.1235,176
223,high,89-22,176.6215,51.90755,176
223,high,71-28,175.2645,52.16752,176
223,high,79-24,175.8991,52.00096,176
224,high,91-23,176.7699,51.9423,176
224,high,69-26,175.1165,52.07686,148
224,high,70-26,175.1953,52.07238,176
311,high,131-22,179.7622,51.91659,176
311,high,139-36,-179.6298,52.53108,176
311,high,134-29,179.9991,52.21361,148
311,high,135-29,-179.9268,52.20098,148
311,high,130-22,179.7021,51.89405,148
312,high,135-33,-179.9208,52.3726,176
312,high,131-22,179.7774,51.90144,176
312,high,135-27,-179.9257,52.12583,148
312,high,126-23,179.3933,51.9508,148
312,high,132-32,179.8488,52.3456,176
313,high,127-28,179.4817,52.1651,176
313,high,143-42,-179.309,52.7798,176
313,high,125-25,179.3275,52.03085,148
313,high,136-25,-179.8518,52.04808,148
314,high,126-29,179.3977,52.21361,176
314,high,125-29,179.3225,52.21361,148
314,high,125-28,179.3225,52.1697,148
321,high,158-19,-178.1753,51.76184,148
321,high,160-18,-178.0461,51.73296,148
321,high,167-19,-177.5172,51.77041,148
321,high,168-19,-177.446,51.778,148
321,high,103-25,177.6685,52.03823,148
321,high,104-26,177.7304,52.06745,176
321,high,97-26,177.2199,52.065,176
321,high,153-16,-178.5842,51.63466,176
321,high,104-24,177.7367,51.99089,176
321,high,99-24,177.3727,51.99868,176
322,high,165-19,-177.6703,51.78906,148
322,high,99-26,177.3607,52.08201,148
322,high,98-26,177.3063,52.07181,148
322,high,153-16,-178.5752,51.64724,176
322,high,164-21,-177.7459,51.87014,176
322,high,99-25,177.3783,52.02399,176
323,high,110-23,178.1962,51.95192,148
323,high,108-25,178.0391,52.04653,148
323,high,149-15,-178.8701,51.60622,148
323,high,105-25,177.8393,52.05409,148
323,high,110-24,178.1694,51.97813,176
323,high,112-25,178.3421,52.052,176
323,high,113-21,178.4066,51.88193,176
323,high,154-16,-178.5048,51.64865,176
323,high,110-22,178.197,51.90202,176
324,high,113-21,178.4102,51.85804,148
324,high,114-25,178.4958,52.04771,148
324,high,115-21,178.5684,51.87325,176
324,high,110-23,178.1809,51.94857,176
411,high,109-19,178.13,51.77645,148
411,high,104-21,177.74,51.88381,148
411,high,97-20,177.2243,51.82112,176
411,high,124-7,179.2456,51.27267,176
412,high,102-20,177.5947,51.82534,148
412,high,117-12,178.7236,51.48476,148
412,high,99-19,177.3691,51.77461,148
412,high,119-9,178.9019,51.36204,148
412,high,116-13,178.6443,51.51315,148
