"TABLE_GROUP","INSIDE_SSL_CH_KG","OUTSIDE_SSL_CH_KG","TOTAL_CATCH_KG"
"walleye pollock","23,426","1,673","25,099"
"Pacific cod","9,377","339","9,716"
"sablefish","2,289","224","2,513"
"Atka mackerel","80,969","10,199","91,168"
"Chinook salmon","NA","NA","NA"
"forage fish","8","3","11"
"sculpins","1,909","218","2,127"
"Pacific ocean perch","111,001","51,894","162,895"
"northern rockfish","30,696","20,162","50,858"
"rougheye/blackspotted rockfishes","1,575","382","1,957"
"shortraker rockfish","974","58","1,032"
"other rockfishes","1,962","770","2,732"
"arrowtooth flounder","5,618","497","6,115"
"flathead sole","1,015","36","1,051"
"Kamchatka flounder","1,607","138","1,745"
"northern rock sole","3,045","215","3,260"
"Pacific halibut","1,803","218","2,021"
"yellowfin sole","21","0","21"
"other flatfish","3,073","197","3,270"
"sharks","NA","NA","NA"
"skates","1,893","1,154","3,047"
"golden king crab","202","65","267"
"red king crab","NA","NA","NA"
"Tanner crab","2","0","2"
"octopus","157","22","179"
"squid","267","66","333"
